custom/mean_reward,custom/collision_num,custom/total_distance,time/num_timesteps,custom/total_reward,custom/collision_rate,custom/avg_center_dev,custom/avg_speed,custom/episode_length,custom/routes_completed,replay_buffer/sum_recent_rewards,custom/collision_interval,custom/CPS,custom/CPM,replay_buffer/mean_recent_rewards,custom/collision_speed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,rollout/ep_gt_rew_mean,train/std,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate
,,,,,,,,,,10.490568,,,,0.03988809,,1710.6666666666667,6,0,10304,17.249952666666662,0.04980483278632164,14510,,,,,,
0.1433033458705887,3,11.17019091011025,10319,8.024987368752967,0.42857142857142855,0.44237466747962867,11.023345177678307,56,0.22727272727272727,,,,,,,,,,,,,,320,-0.0969726542243734,-7.6524913385510445,0.9709921022877097,0.388754490413703,9.7960068155392e-05
,,,,,,,,,,22.464958,,,,0.07064452,,1474.142857142857,7,0,10368,15.92693214285714,0.049804866313934326,14692,,,,,,
-0.08884430672633807,3,3.6765333810499214,10415,-8.617897752454793,0.375,1.2086166662242894,2.179237958667093,97,0.0038240917782026767,,,,,,,,,,,,,,384,-0.11743110010866076,-8.961004413664341,0.9646701030433178,0.36669517116388306,9.7947463794688e-05
,,,,,,,,,,22.851055,,,,0.055195786,,1301.875,8,0,10432,12.85798125,0.049806755036115646,14874,,,,,,
,,,,,,,,,,,,,,,,1301.875,8,0,10496,12.85798125,0.04980774223804474,15055,448,-0.1395416137529537,-10.376819297671318,0.9584518000483513,0.40734079282265157,9.7934860249088e-05
,,,,,,,,,,,,,,,,1301.875,8,0,10560,12.85798125,0.04980811849236488,15253,512,-0.16239908849820495,-11.748951107263565,0.9522920176386833,0.7109216546523385,9.792225751859201e-05
-0.044288532056831365,3,4.098541118191406,10600,-8.237666962570634,0.3333333333333333,0.15088706196827872,1.2551091351842658,186,0.06666666666666667,,,,,,,,,,,,,,576,-0.18495580460876226,-13.202054232358932,0.9461573474109173,0.39447730587562546,9.790965560320001e-05
,,,,,,,,,,5.0035686,,,,0.010007137,,1177.7777777777778,9,0,10624,10.510018222222222,0.04980961233377457,15549,,,,,,
-0.22256884704808963,3,4.3765041786246,10635,-8.012478493731226,0.3,0.5734723466119228,6.972742895629035,36,0.005272407732864675,,,,,,,,,,,,,,640,-0.2030674503184855,-14.395703688263893,0.9400785574689507,0.5109459507511929,9.7897054502912e-05
-0.2865136676866794,3,5.579955470981076,10659,-7.162841692166985,0.2727272727272727,0.7886467297439833,12.715690978388217,25,0.11904761904761904,6.1776447,,,,0.012355289,,,,,,,,,,,,,,
-0.3618017441581651,4,3.277622669469565,10678,-7.236034883163302,0.3333333333333333,0.36407140591958864,9.382561961026425,20,0.008955223880597015,5.586567,420,0.05,305.0991834157149,0.011173134,18.730581050847277,,,,,,,,,,,,,
,,,,,,,,,,-3.7139397,,,,-0.007427879,,889.8333333333334,12,0,10688,6.005845416666666,0.04980899393558502,15778,,,,,,
-0.20653063087120102,4,8.392798155546188,10706,-5.989388295264829,0.3076923076923077,0.7231234126629105,16.216348090771714,29,0.039647577092511016,,,,,,,,,,,,,,704,-0.22042268980294466,-15.464817494153976,0.934186052531004,0.6928606207366101,9.788445421772799e-05
-0.04320804948315735,4,9.553095725714229,10739,-1.46907368242735,0.2857142857142857,0.5718248543473848,15.674647172859393,34,0.027522935779816515,-5.285145,,,,-0.01057029,,,,,,,,,,,,,,
,,,,,,,,,,-18.510452,,,,-0.037020903,,767.0714285714286,14,0,10752,4.609912214285714,0.04980872571468353,16047,,,,,,
-0.1876129608296729,4,5.673351637553424,10766,-5.253162903230842,0.26666666666666666,0.6501680583631009,11.614274517939476,28,0.09090909090909091,,,,,,,,,,,,,,768,-0.24247249611653388,-16.673370644450188,0.9283261327072978,0.8495520187425427,9.787185474764801e-05
-0.3660165945875864,4,3.8813847627025098,10788,-8.418381675514487,0.25,0.7188540605103703,9.981803292720972,23,0.005277044854881266,-25.26471,,,,-0.05052942,,,,,,,,,,,,,,
-0.35072038102889574,4,4.249855944304727,10811,-8.417289144693498,0.23529411764705882,0.8079262815246596,10.403122891685127,24,0.06382978723404255,-36.790436,,,,-0.07358087,,,,,,,,,,,,,,
,,,,,,,,,,-56.301086,,,,-0.112602174,,635.9411764705883,17,0,10816,2.4907262941176462,0.04981059208512306,16268,,,,,,
,,,,,,,,,,,,,,,,635.9411764705883,17,0,10880,2.4907262941176462,0.0498114675283432,16488,832,-0.26273047644644976,-17.722187846899033,0.9225134830921888,0.7458718596026301,9.785925609267198e-05
,,,,,,,,,,,,,,,,635.9411764705883,17,0,10944,2.4907262941176462,0.04981526359915733,16711,896,-0.2873970549553633,-18.936093121767044,0.9167548064142466,0.5849838391295634,9.78466582528e-05
,,,,,,,,,,,,,,,,635.9411764705883,17,0,11008,2.4907262941176462,0.04981495067477226,16931,960,-0.3093385708052665,-20.029776453971863,0.9109473265707493,1.2630260100704618,9.783406122803202e-05
,,,,,,,,,,,,,,,,635.9411764705883,17,0,11072,2.4907262941176462,0.04981774836778641,17150,1024,-0.3268160854931921,-21.025507122278214,0.9051855867728591,0.6316099825780839,9.7821465018368e-05
,,,,,,,,,,,,,,,,635.9411764705883,17,0,11136,2.4907262941176462,0.04981834068894386,17362,1088,-0.35259062238037586,-22.13581070303917,0.8994898581877351,0.676603825588245,9.7808869623808e-05
-0.0030366367862065236,4,11.580521636252342,11173,-1.102299153392968,0.2222222222222222,0.07847328163032254,1.7642127482112164,363,0.041811846689895474,,,,,,,,,,,,,,1152,-0.3829835248179734,-23.324250489473343,0.8937463322654366,0.6248592040501535,9.7796275044352e-05
,,,,,,,,,,7.3184566,,,,0.014636913,,620.7222222222222,18,0,11200,2.28912811111111,0.049817875027656555,17566,,,,,,
-0.04595034619396898,4,9.499693616759032,11208,-1.6542124629828834,0.21052631578947367,0.666505882462606,14.597746862750004,36,0.09375,,,,,,,,,,,,,,1216,-0.3847242798656225,-23.940428644418716,0.8880862006917596,1.0160898921312764,9.778368128000001e-05
-0.20376151974395354,4,3.9504206366837025,11248,-8.354222309502095,0.2,0.7465961739050844,5.576412561320812,41,0.006329113924050633,17.610207,,,,0.035220414,,,,,,,,,,,,,,
,,,,,,,,,,12.473969,,,,0.02494794,,562.4,20,0,11264,1.5562341499999992,0.0498204305768013,17763,,,,,,
,,,,,,,,,,,,,,,,562.4,20,0,11328,1.5562341499999992,0.04982215538620949,17980,1280,-0.41222030529752374,-24.769395858049393,0.8826020546257496,0.8844290871638805,9.777108833075198e-05
,,,,,,,,,,,,,,,,562.4,20,0,11392,1.5562341499999992,0.049822721630334854,18155,1344,-0.43150771455839276,-25.652187556028366,0.8770979614928365,0.9843238167231902,9.7758496196608e-05
