custom/mean_reward,custom/routes_completed,custom/collision_num,custom/collision_interval,custom/avg_speed,custom/collision_speed,custom/episode_length,custom/avg_center_dev,custom/collision_rate,custom/total_reward,time/num_timesteps,custom/CPM,custom/CPS,custom/total_distance,replay_buffer/sum_recent_rewards,replay_buffer/mean_recent_rewards,train/std,time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef,train/n_updates,train/ent_coef_loss
0.0,0.38461538461538464,1,3208,0.2870390079246963,0.12749077972339262,3207,0.7373221197870727,1.0,0.0,3206,66.74986563530301,0.0003118178983473651,14.981303564918562,,,,,,,,,,,,,,,
0.0,0.029661016949152543,2,1152,0.36611404900936667,4.650610454408505,1152,0.06855305505059982,1.0,0.0,4357,142.54452822081646,0.0008680555555555555,7.015351711367657,0.0,0.0,,,,,,,,,,,,,
0.0,0.39655172413793105,2,,0.47482574342011824,,2850,0.5634815517763444,0.6666666666666666,0.0,7206,,,22.837400255679313,0.0,0.0,,,,,,,,,,,,,
0.0,0.7924528301886793,2,,1.5715162627558477,,1357,0.3603741366919714,0.5,0.0,8562,,,38.470725492618385,0.0,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,0.04978706315159798,4,8562,680,12,0.0,2140.5,,,,,,
0.0,0.22413793103448276,2,,0.5095916345173609,,1637,0.2371469382127484,0.4,0.0,10198,,,14.080211429683914,,,,,,,,,,0.2978099529800602,0.0004898960239370241,-5.020356722176075,0.9240040928125381,192,-0.2580317109823227
0.0,0.03409090909090909,2,,9.590414863117989,,25,0.7171110380648201,0.3333333333333333,0.0,10222,,,4.109585762023926,0.0,0.0,,,,,,,,,,,,,
0.0,0.18181818181818182,3,6178,1.7767436118867561,8.999877385896978,309,2.264300688500999,0.42857142857142855,0.0,10530,103.34757226768885,0.003236245954692557,9.676086027544216,0.0,0.0,,,,,,,,0.19526617779047228,0.0004895799648419841,-9.956174105405807,0.7903768811374903,512,-0.76499686203897
0.0,0.004555808656036446,3,,7.640188450500094,,29,0.7400129180331544,0.375,0.0,10558,,,3.7744637575233355,0.0,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0,0.0,0.04985596984624863,8,10558,885,11,0.0,1319.75,,,,,,
0.0,0.1111111111111111,3,,1.7570037643119871,,170,0.19032741739947792,0.3333333333333333,0.0,10727,,,5.334514937483618,,,,,,,,,,0.12627627060282975,0.000489390378438656,-12.270482033491135,0.7194179939106107,704,-1.0861318381503224
